news_id,source,click,i,poli2,poli5,manual
N83902,Bloomberg News,74,2352,-3.21,-1.0,0.305555556
N31872,Bloomberg News,875,2838,-3.21,-1.0,0.017857143
N30483,Bloomberg News,239,2895,-3.21,-1.0,-0.113636364
N57725,Bloomberg News,267,3802,-3.21,-1.0,-0.111111111
N19162,Bloomberg News,174,4573,-3.21,-1.0,-0.416666667
N118908,Bloomberg News,413,18736,-3.21,-1.0,-0.025
N38630,Bloomberg News,5,8296,-3.21,-1.0,99.0
N54292,Bloomberg News,1,19709,-3.21,-1.0,99.0
N103633,Bloomberg News,0,19901,-3.21,-1.0,99.0
N23129,Bloomberg News,0,22832,-3.21,-1.0,99.0
N121018,Bloomberg News,1,24801,-3.21,-1.0,99.0
N23210,Boston Herald,4,9311,10.19,1.0,-0.25
N95640,Boston Herald,4,10159,10.19,1.0,0.1875
N43808,Boston Herald,5,22965,10.19,1.0,-0.125
N117368,Boston Herald,2,10275,10.19,1.0,99.0
N13514,Boston Herald,0,12048,10.19,1.0,99.0
N41216,Boston Herald,7,20630,10.19,1.0,99.0
N120984,Boston Herald,0,21968,10.19,1.0,99.0
N46970,Boston Herald,0,22310,10.19,1.0,99.0
N12505,Boston Herald,0,24055,10.19,1.0,99.0
N95939,Boston Herald,1,25294,10.19,1.0,99.0
N6214,boston.com,41,10621,99.0,99.0,0.019230769
N21881,bostonglobe,0,24658,99.0,99.0,99.0
N37417,bostonglobe,0,28791,99.0,99.0,99.0
N104816,bradonton,0,25457,99.0,99.0,99.0
N24594,businessinsider,0,10882,99.0,99.0,99.0
N19564,businessinsider,0,22276,99.0,99.0,99.0
N15201,businessinsider,0,24434,99.0,99.0,99.0
N80876,CBS News,127,523,-3.15,-1.0,0.104166667
N122543,CBS News,1920,979,-3.15,-1.0,0.025
N91716,CBS News,570,1429,-3.15,-1.0,-0.321428571
N77421,CBS News,247,1635,-3.15,-1.0,0.477272727
N119932,CBS News,1744,1718,-3.15,-1.0,0.208333333
N29057,CBS News,395,1870,-3.15,-1.0,0.142857143
N127814,CBS News,270,2481,-3.15,-1.0,-0.025
N61323,CBS News,157,2499,-3.15,-1.0,0.15
N16986,CBS News,83,3512,-3.15,-1.0,-0.117647059
N1066,CBS News,51,4001,-3.15,-1.0,0.09375
N38698,CBS News,42,4686,-3.15,-1.0,-0.409090909
N101953,CBS News,1,5484,-3.15,-1.0,-0.464285714
N40834,CBS News,4,6565,-3.15,-1.0,-0.045454545
N94072,CBS News,6,9025,-3.15,-1.0,0.076923077
N74451,CBS News,2,9107,-3.15,-1.0,-0.07
N31135,CBS News,37,9719,-3.15,-1.0,-0.34375
N75568,CBS News,3,9732,-3.15,-1.0,-0.0625
N107061,CBS News,5,11604,-3.15,-1.0,0.166666667
N34524,CBS News,0,13193,-3.15,-1.0,-0.178571429
N81912,CBS News,2,16525,-3.15,-1.0,-0.21875
N97904,CBS News,5,17000,-3.15,-1.0,-0.05
N43394,CBS News,115,25486,-3.15,-1.0,-0.25
N72615,CBS News,3,26769,-3.15,-1.0,0.020833333
N56784,CBS News,862,27062,-3.15,-1.0,0.075
N57095,CBS News,10,27911,-3.15,-1.0,0.181818182
N125130,CBS News,2,6735,-3.15,-1.0,99.0
N26307,CBS News,1,11428,-3.15,-1.0,99.0
N87695,CBS News,0,12915,-3.15,-1.0,99.0
N9072,CBS News,2,13536,-3.15,-1.0,99.0
N30682,CBS News,2,14692,-3.15,-1.0,99.0
N7683,CBS News,0,18608,-3.15,-1.0,99.0
N8112,CBS News,1,20204,-3.15,-1.0,99.0
N25054,CBS News,0,21616,-3.15,-1.0,99.0
N82896,CBS News,0,21820,-3.15,-1.0,99.0
N20617,CBS News,0,22050,-3.15,-1.0,99.0
N56843,CBS News,3,22119,-3.15,-1.0,99.0
N81909,CBS News,0,22452,-3.15,-1.0,99.0
N52125,CBS News,1,22886,-3.15,-1.0,99.0
N106356,CBS News,0,23615,-3.15,-1.0,99.0
N125415,CBS News,1,26722,-3.15,-1.0,99.0
N4568,CBS News,1,28896,-3.15,-1.0,99.0
N121761,CBS News,1,28985,-3.15,-1.0,99.0
N117455,CBS News,0,29174,-3.15,-1.0,99.0
N42746,CBS News,24,11440,-3.15,-1.0,0.0
N26604,chalkbeat,1,18588,-4.2,0.0,99.0
N91469,Chicago Tribune,337,2318,-4.4,0.0,-0.181818182
N118668,Chicago Tribune,2,6995,-4.4,0.0,0.107142857
N35588,Chicago Tribune,10,7631,-4.4,0.0,0.125
N14562,Chicago Tribune,2,8464,-4.4,0.0,-0.116666667
N59949,Chicago Tribune,2,12882,-4.4,0.0,-0.208333333
N15483,Chicago Tribune,19,14508,-4.4,0.0,-0.214285714
N120824,Chicago Tribune,5,14983,-4.4,0.0,-0.057692308
N122023,Chicago Tribune,3,17238,-4.4,0.0,0.083333333
N42567,Chicago Tribune,4,8953,-4.4,0.0,99.0
N127552,Chicago Tribune,0,11465,-4.4,0.0,99.0
N30160,Chicago Tribune,0,18229,-4.4,0.0,99.0
N89139,Chicago Tribune,0,19163,-4.4,0.0,99.0
N69295,Chicago Tribune,0,21239,-4.4,0.0,99.0
N129445,Chicago Tribune,2,28690,-4.4,0.0,99.0
N87837,cincinnati,9,11317,-4.41,99.0,-0.075
N84825,cincinnati,3,12277,-4.41,99.0,99.0
N128876,Cleveland.com,0,6224,-0.67,99.0,-0.138888889
N67576,Cleveland.com,0,15278,-0.67,99.0,-0.025
N110581,Cleveland.com,1,16984,-0.67,99.0,0.09375
N58277,Cleveland.com,3,28119,-0.67,99.0,0.038461538
N39680,Cleveland.com,0,17930,-0.67,99.0,99.0
N89684,Cleveland.com,0,24704,-0.67,99.0,99.0
N78343,CNBC,1367,2569,-2.6,0.0,-0.111111111
N31094,CNBC,269,19205,-2.6,0.0,-0.236111111
N117214,CNBC,3,28498,-2.6,0.0,-0.35
N69580,CNBC,0,19810,-2.6,0.0,99.0
N89560,CNBC,0,22445,-2.6,0.0,99.0
N45603,CNBC,0,23503,-2.6,0.0,99.0
N58291,CNN,1,15287,-7.27,-2.0,0.035714286
N22177,CNN,75,383,-7.27,-2.0,-0.041666667
N32051,CNN,159,386,-7.27,-2.0,-0.21875
N75237,CNN,231,703,-7.27,-2.0,-0.227272727
N112527,CNN,447,1129,-7.27,-2.0,-0.295454545
N47863,CNN,621,1785,-7.27,-2.0,-0.28125
N124245,CNN,469,2195,-7.27,-2.0,0.035714286
N108034,CNN,83,2248,-7.27,-2.0,-0.1
N128788,CNN,23,2557,-7.27,-2.0,0.075
N15268,CNN,106,2973,-7.27,-2.0,-0.325
N22436,CNN,90,3623,-7.27,-2.0,-0.25
N100395,CNN,98,3826,-7.27,-2.0,-0.3125
N101620,CNN,6,4210,-7.27,-2.0,0.020833333
N94232,CNN,216,4673,-7.27,-2.0,-0.175
N41170,CNN,65,4698,-7.27,-2.0,-0.071428571
N53245,CNN,4,4775,-7.27,-2.0,0.145833333
N73966,CNN,42,6337,-7.27,-2.0,0.357142857
N125058,CNN,1,9406,-7.27,-2.0,0.05
N32717,CNN,3,10040,-7.27,-2.0,0.25
N50055,CNN,24,10716,-7.27,-2.0,0.25
N18856,CNN,0,10852,-7.27,-2.0,-0.307692308
N123483,CNN,13,11429,-7.27,-2.0,-0.295454545
N17798,CNN,5,13325,-7.27,-2.0,0.1875
N69177,CNN,5,14212,-7.27,-2.0,-0.083333333
N52266,CNN,3,14668,-7.27,-2.0,0.136363636
N35316,CNN,7,16769,-7.27,-2.0,-0.071428571
N99102,CNN,0,17190,-7.27,-2.0,-0.159090909
N112865,CNN,63,26416,-7.27,-2.0,-0.125
N126348,CNN,2,27148,-7.27,-2.0,-0.208333333
N23302,CNN,53,27230,-7.27,-2.0,-0.4375
N84406,CNN,9,4774,-7.27,-2.0,99.0
N27127,CNN,4,5134,-7.27,-2.0,99.0
N18067,CNN,1,13480,-7.27,-2.0,99.0
N10364,CNN,0,14477,-7.27,-2.0,99.0
N2544,CNN,1,16915,-7.27,-2.0,99.0
N32011,CNN,0,17178,-7.27,-2.0,99.0
N62143,CNN,1,17586,-7.27,-2.0,99.0
N24099,CNN,1,18633,-7.27,-2.0,99.0
N6775,CNN,0,19739,-7.27,-2.0,99.0
N30470,CNN,9,19814,-7.27,-2.0,99.0
N42766,CNN,0,20129,-7.27,-2.0,99.0
N101194,CNN,0,22431,-7.27,-2.0,99.0
N54051,CNN,0,24777,-7.27,-2.0,99.0
N25226,CNN,0,25152,-7.27,-2.0,99.0
N97002,CNN,0,25333,-7.27,-2.0,99.0
N106685,CNN,0,25362,-7.27,-2.0,99.0
N53037,CNN,0,25643,-7.27,-2.0,99.0
N52470,CNN,0,25645,-7.27,-2.0,99.0
N128217,CNN,1,25816,-7.27,-2.0,99.0
N83441,CNN,0,25831,-7.27,-2.0,99.0
N98359,CNN,0,26342,-7.27,-2.0,99.0
N13855,CNN,0,26449,-7.27,-2.0,99.0
N106436,CNN,0,26569,-7.27,-2.0,99.0
N66436,CNN,0,26834,-7.27,-2.0,99.0
N88028,CNN,1,28838,-7.27,-2.0,99.0
N98366,CNN,0,28854,-7.27,-2.0,99.0
N9396,CNN,1,5948,-7.27,-2.0,-0.132352941
N50002,commercialappeal,0,9469,-2.26,-1.0,99.0
N25424,courant,0,20513,-1.06,0.0,99.0
N51971,courant,0,20654,-1.06,0.0,99.0
N24866,courant,0,20766,-1.06,0.0,99.0
N99755,courant,1,22578,-1.06,0.0,99.0
N128254,courant,0,25378,-1.06,0.0,99.0
N35132,courant,0,25591,-1.06,0.0,99.0
N1834,cpr,4,22144,-1.88,99.0,0.0
N79581,Daily Beast,506,2038,-12.87,-2.0,-0.333333333
N90235,Daily Beast,0,26393,-12.87,-2.0,99.0
N78699,Daily Mail,4747,13,2.95,2.0,0.125
N61850,Daily Mail,653,688,2.95,2.0,-0.0625
N93947,Daily Mail,228,1301,2.95,2.0,-0.022727273
N90740,Daily News - Los Angeles,7,16092,1.48,0.0,-0.333333333
N28683,dailydemocrat,0,10786,99.0,99.0,99.0
N61824,dailypress,4,6434,99.0,1.0,-0.05
N41335,dailypress,5,12315,99.0,1.0,99.0
N126597,dailypress,4,12416,99.0,1.0,-0.136363636
N58763,dailypress,0,13255,99.0,1.0,0.0
N113453,dailypress,0,13657,99.0,1.0,-0.066666667
N104305,dailypress,0,21317,99.0,1.0,99.0
N30017,dailypress,0,21773,99.0,1.0,99.0
N102896,denverpost,2,20997,-3.12,99.0,99.0
N27873,Des Moines Register,78,3672,-1.0,0.0,-0.357142857
N65903,Des Moines Register,1,8060,-1.0,0.0,99.0
N4984,Des Moines Register,0,16193,-1.0,0.0,99.0
N83765,Des Moines Register,0,19289,-1.0,0.0,99.0
N12116,Des Moines Register,0,20017,-1.0,0.0,99.0
N57994,Des Moines Register,0,21068,-1.0,0.0,99.0
N9959,Des Moines Register,0,21069,-1.0,0.0,99.0
N122263,Des Moines Register,2,21121,-1.0,0.0,99.0
N119295,Des Moines Register,0,22321,-1.0,0.0,99.0
N11062,Des Moines Register,0,22737,-1.0,0.0,99.0
N21105,Des Moines Register,0,24341,-1.0,0.0,99.0
N107772,Des Moines Register,5,17265,-1.0,0.0,-0.2
N19723,Des Moines Register,28,3657,-1.0,0.0,0.125
N22074,Detroit Free Press,1,15279,-8.99,-1.0,-0.090909091
N95153,Detroit Free Press,4,28651,-8.99,-1.0,-0.279411765
N129600,Detroit Free Press,0,28670,-8.99,-1.0,-0.016666667
N9683,Detroit Free Press,4,16445,-8.99,-1.0,99.0
N3414,Detroit Free Press,1,16691,-8.99,-1.0,99.0
N18874,Detroit Free Press,0,28945,-8.99,-1.0,99.0
N53346,dnj,3,21077,99.0,99.0,99.0
N33884,expressnews,3,14873,99.0,0.0,-0.025
N20259,expressnews,0,18874,99.0,0.0,99.0
N87913,FactCheck.org,433,40,-1.76,0.0,-0.318181818
N51757,FactCheck.org,152,1637,-1.76,0.0,0.166666667
N124899,FactCheck.org,95,1701,-1.76,0.0,-0.333333333
N6331,FactCheck.org,119,2465,-1.76,0.0,-0.325
N37930,FactCheck.org,423,2482,-1.76,0.0,-0.25
N19337,FactCheck.org,31,3206,-1.76,0.0,-0.267857143
N76607,FactCheck.org,78,3529,-1.76,0.0,-0.395833333
N79608,FactCheck.org,78,4938,-1.76,0.0,-0.15625
N117298,FactCheck.org,0,5485,-1.76,0.0,99.0
N11273,FactCheck.org,0,8359,-1.76,0.0,99.0
N89201,FactCheck.org,2,9648,-1.76,0.0,99.0
N61871,FactCheck.org,2,11361,-1.76,0.0,99.0
N1546,FactCheck.org,0,19452,-1.76,0.0,99.0
N49206,FactCheck.org,0,19456,-1.76,0.0,99.0
N50825,FactCheck.org,1,19457,-1.76,0.0,99.0
N64426,FactCheck.org,1,19459,-1.76,0.0,99.0
N19167,FactCheck.org,0,19742,-1.76,0.0,99.0
N72967,floridatoday,3,17504,-0.67,99.0,99.0
N74828,floridatoday,0,20800,-0.67,99.0,99.0
N64182,floridatoday,0,28485,-0.67,99.0,99.0
N89621,Fox News,71,1732,11.63,2.0,-0.125
N95301,Fox News,811,264,11.63,2.0,0.117647059
N7728,Fox News,340,433,11.63,2.0,0.178571429
N11546,Fox News,145,1293,11.63,2.0,0.083333333
N87367,Fox News,24,1352,11.63,2.0,-0.175
N77606,Fox News,529,1544,11.63,2.0,0.225
N96490,Fox News,73,1699,11.63,2.0,-0.15625
N78847,Fox News,808,1985,11.63,2.0,0.225
N22524,Fox News,833,2075,11.63,2.0,0.1875
N121548,Fox News,231,2726,11.63,2.0,0.277777778
N11789,Fox News,780,2965,11.63,2.0,-0.020833333
N105474,Fox News,208,3033,11.63,2.0,0.020833333
N79499,Fox News,2765,3034,11.63,2.0,0.166666667
