news_id,category,subcategory,i,p
N1047,news,newspolitics,15014,poli
N104793,news,newspolitics,15849,poli
N104815,news,newspolitics,23361,poli
N104816,news,newspolitics,25457,poli
N104846,news,newspolitics,16530,poli
N105251,news,newspolitics,20447,poli
N105353,news,newspolitics,28780,poli
N105456,news,newspolitics,4066,poli
N105474,news,newspolitics,3033,poli
N105653,news,newspolitics,22353,poli
N105688,news,newspolitics,18634,poli
N106244,news,newspolitics,15120,poli
N106356,news,newspolitics,23615,poli
N106436,news,newspolitics,26569,poli
N1066,news,newspolitics,4001,poli
N106607,news,newspolitics,4446,poli
N10665,news,newspolitics,25705,poli
N106685,news,newspolitics,25362,poli
N106856,news,newspolitics,28682,poli
N106909,news,elections-2020-us,2061,poli
N106978,news,newspolitics,25728,poli
N107061,news,newspolitics,11604,poli
N107099,news,newspolitics,27180,poli
N107103,news,newspolitics,28049,poli
N107142,news,newspolitics,8028,poli
N107167,news,newspolitics,27804,poli
N107579,news,newspolitics,28053,poli
N107589,news,newspolitics,5377,poli
N107740,news,newspolitics,20891,poli
N107772,news,newspolitics,17265,poli
N107801,news,newspolitics,815,poli
N107861,news,newspolitics,20158,poli
N108034,news,newspolitics,2248,poli
N108064,news,newspolitics,7707,poli
N108196,news,elections-2020-us,24112,poli
N108363,news,newspolitics,1304,poli
N108426,news,newspolitics,17894,poli
N108587,news,newsfactcheck,9669,poli
N108596,news,newspolitics,13063,poli
N108736,news,newspolitics,56,poli
N108784,news,newspolitics,17259,poli
N108975,news,newspolitics,28993,poli
N109111,news,newspolitics,29032,poli
N109167,news,newspolitics,17274,poli
N109198,news,newspolitics,8176,poli
N109240,news,newspolitics,28238,poli
N109306,news,newspolitics,25024,poli
N109337,news,newspolitics,26590,poli
N109379,news,newspolitics,14467,poli
N109439,news,newspolitics,6233,poli
N109536,news,newspolitics,29030,poli
N109692,news,newspolitics,11164,poli
N109764,news,elections-2020-us,28790,poli
N109782,news,newspolitics,25946,poli
N109798,news,newspolitics,29017,poli
N109799,news,newspolitics,4038,poli
N109928,news,newspolitics,20007,poli
N110154,news,newspolitics,21504,poli
N110216,news,newspolitics,27371,poli
N110288,news,newspolitics,25259,poli
N110485,news,newspolitics,388,poli
N110548,news,newspolitics,18504,poli
N110581,news,newspolitics,16984,poli
N11062,news,newspolitics,22737,poli
N110621,news,newspolitics,28617,poli
N110947,news,elections-2020-us,3470,poli
N110964,news,newspolitics,19008,poli
N111319,news,newspolitics,19873,poli
N111421,news,newspolitics,9375,poli
N111457,news,newspolitics,25249,poli
N111512,news,newspolitics,13423,poli
N111662,news,newspolitics,4563,poli
N112050,news,newspolitics,995,poli
N112160,news,newspolitics,15571,poli
N112339,news,elections-2020-us,3851,poli
N11240,news,newspolitics,27520,poli
N112489,news,newspolitics,8528,poli
N112527,news,newspolitics,1129,poli
N112528,news,newspolitics,27946,poli
N112547,news,newspolitics,20684,poli
N112613,news,newspolitics,13808,poli
N11273,news,factcheck,8359,poli
N112767,news,newspolitics,8143,poli
N112819,news,elections-2020-us,502,poli
N112822,news,newspolitics,15396,poli
N112865,news,newspolitics,26416,poli
N112967,news,newspolitics,6972,poli
N113012,news,newspolitics,12284,poli
N11307,news,newspolitics,11621,poli
N113143,news,newspolitics,18640,poli
N113147,news,elections-2020-us,28852,poli
N113212,news,newspolitics,16643,poli
N113246,news,newspolitics,12508,poli
N113453,news,newspolitics,13657,poli
N113703,news,newspolitics,1886,poli
N113782,news,newspolitics,27600,poli
N114007,news,newspolitics,9275,poli
N114054,news,newspolitics,1751,poli
N114127,news,newspolitics,7838,poli
N114191,news,newspolitics,12586,poli
N114200,news,newspolitics,735,poli
N114245,news,newspolitics,14930,poli
N114429,news,newspolitics,1130,poli
N114580,news,newspolitics,9272,poli
N114697,news,newspolitics,13571,poli
N114703,news,newspolitics,27796,poli
N114804,news,newspolitics,22052,poli
N114816,news,newspolitics,10077,poli
N114934,news,newspolitics,17723,poli
N114957,news,newspolitics,26395,poli
N115031,news,newspolitics,21082,poli
N115095,news,newspolitics,12628,poli
N115184,news,newspolitics,9807,poli
N115220,news,newspolitics,12024,poli
N11546,news,newspolitics,1293,poli
N115474,news,newspolitics,29067,poli
N115533,news,elections-2020-us,1861,poli
N115756,news,newspolitics,27240,poli
N11591,news,elections-2020-us,15745,poli
N115937,news,newspolitics,20280,poli
N116062,news,newspolitics,14786,poli
N116109,news,newspolitics,8806,poli
N116336,news,newspolitics,3533,poli
N116339,news,newspolitics,18303,poli
N116361,news,newspolitics,1517,poli
N116372,news,newspolitics,24106,poli
N116482,news,newspolitics,20816,poli
N116510,news,elections-2020-us,2933,poli
N116513,news,newspolitics,22702,poli
N116549,news,newspolitics,15978,poli
N116693,news,newspolitics,6705,poli
N116748,news,newspolitics,12117,poli
N117029,news,newspolitics,1793,poli
N117032,news,newspolitics,24997,poli
N117043,news,newspolitics,12245,poli
N117105,news,newspolitics,27089,poli
N11713,news,elections-2020-us,807,poli
N117214,news,newspolitics,28498,poli
N117298,news,factcheck,5485,poli
N117312,news,newspolitics,22493,poli
N117342,news,newspolitics,3570,poli
N117368,news,newspolitics,10275,poli
N117447,news,elections-2020-us,2568,poli
N117455,news,newspolitics,29174,poli
N11789,news,newspolitics,2965,poli
N117901,news,newspolitics,17722,poli
N118008,news,newspolitics,16705,poli
N118099,news,newspolitics,27108,poli
N118265,news,elections-2020-us,29134,poli
N118266,news,newspolitics,3027,poli
N118341,news,newspolitics,14406,poli
N118445,news,newspolitics,6535,poli
N118515,news,newspolitics,15092,poli
N118668,news,newspolitics,6995,poli
N118760,news,elections-2020-us,24655,poli
N118870,news,newspolitics,1411,poli
N118880,news,newspolitics,23023,poli
N118908,news,newspolitics,18736,poli
N119044,news,newspolitics,7075,poli
N119295,news,newspolitics,22321,poli
N119461,news,newspolitics,4987,poli
N119709,news,newspolitics,19147,poli
N119754,news,newspolitics,16391,poli
N11976,news,newspolitics,13329,poli
N119932,news,newspolitics,1718,poli
N119973,news,newspolitics,9187,poli
N119985,news,newspolitics,28157,poli
N120046,news,elections-2020-us,24657,poli
N120198,news,newspolitics,15372,poli
N120696,news,newspolitics,1590,poli
N120749,news,newspolitics,18732,poli
N120824,news,newspolitics,14983,poli
N120984,news,newspolitics,21968,poli
N121018,news,newspolitics,24801,poli
N121052,news,newspolitics,5926,poli
N121053,news,newspolitics,26263,poli
N121136,news,newspolitics,1038,poli
N121138,news,newspolitics,13763,poli
N121145,news,elections-2020-us,18651,poli
N121156,news,newspolitics,20586,poli
N12116,news,newspolitics,20017,poli
N121365,news,newspolitics,16145,poli
N121375,news,newspolitics,379,poli
N121548,news,elections-2020-us,2726,poli
N121583,news,newspolitics,19840,poli
N121718,news,newspolitics,7093,poli
N121761,news,elections-2020-us,28985,poli
N122023,news,newspolitics,17238,poli
N122031,news,newspolitics,15284,poli
N122052,news,newspolitics,18802,poli
N122081,news,newspolitics,6526,poli
N12220,news,newspolitics,3998,poli
N122263,news,newspolitics,21121,poli
N122463,news,newspolitics,12858,poli
N122467,news,newspolitics,9763,poli
N122543,news,elections-2020-us,979,poli
N122553,news,newspolitics,10347,poli
N122885,news,newspolitics,23444,poli
N122931,news,newspolitics,14325,poli
N123139,news,newspolitics,5743,poli
N123205,news,newspolitics,26540,poli
N123304,news,newspolitics,13330,poli
N123483,news,newspolitics,11429,poli
N1235,news,newspolitics,17835,poli
N123643,news,newspolitics,1001,poli
N123697,news,newspolitics,17509,poli
N123833,news,newspolitics,23377,poli
N123836,news,newspolitics,7307,poli
N12400,news,newspolitics,19865,poli
N124045,news,newspolitics,12275,poli
N124245,news,newspolitics,2195,poli
N124397,news,newspolitics,15730,poli
N124477,news,newspolitics,28194,poli
N124558,news,newspolitics,21349,poli
N124670,news,newspolitics,15865,poli
N12475,news,newspolitics,23560,poli
N124751,news,newspolitics,14523,poli
N124899,news,factcheck,1701,poli
N125045,news,newspolitics,25986,poli
N12505,news,newspolitics,24055,poli
N125058,news,newspolitics,9406,poli
N125071,news,newspolitics,17732,poli
N125130,news,newspolitics,6735,poli
N125198,news,newspolitics,9654,poli
N125415,news,newspolitics,26722,poli
N125546,news,newspolitics,4674,poli
N125609,news,factcheck,19769,poli
N125716,news,newspolitics,21913,poli
N125841,news,elections-2020-us,2281,poli
N125913,news,elections-2020-us,24654,poli
N126083,news,newsfactcheck,10971,poli
N126117,news,newspolitics,6502,poli
N126162,news,elections-2020-us,18643,poli
N126225,news,newspolitics,29199,poli
N126256,news,newspolitics,16671,poli
N126267,news,newspolitics,6965,poli
N126348,news,newspolitics,27148,poli
N126592,news,newspolitics,591,poli
N126597,news,newspolitics,12416,poli
N126659,news,newspolitics,23133,poli
N126724,news,newspolitics,11097,poli
N126789,news,newspolitics,2231,poli
N126832,news,newspolitics,25799,poli
N126860,news,newspolitics,25763,poli
N126961,news,newspolitics,21049,poli
N126963,news,newspolitics,24013,poli
N127056,news,newspolitics,17355,poli
N127090,news,newspolitics,17412,poli
N127134,news,elections-2020-us,347,poli
N127231,news,elections-2020-us,20156,poli
N127245,news,newspolitics,28251,poli
N127365,news,newspolitics,22231,poli
N127547,news,elections-2020-us,2500,poli
N127552,news,newspolitics,11465,poli
N127814,news,newspolitics,2481,poli
N127986,news,newspolitics,4741,poli
N127998,news,newspolitics,27338,poli
N128089,news,newspolitics,23119,poli
N128189,news,elections-2020-us,23259,poli
N128217,news,elections-2020-us,25816,poli
N128253,news,newspolitics,2693,poli
N128254,news,newspolitics,25378,poli
N128371,news,newspolitics,1906,poli
N128783,news,newspolitics,28762,poli
N128788,news,newspolitics,2557,poli
N128876,news,newspolitics,6224,poli
N12899,news,newsfactcheck,3532,poli
N129101,news,newspolitics,13426,poli
N129204,news,newspolitics,8066,poli
N129424,news,newspolitics,18648,poli
N129445,news,newspolitics,28690,poli
N129567,news,newspolitics,25459,poli
N129600,news,newspolitics,28670,poli
N129843,news,newspolitics,20746,poli
N13000,news,newspolitics,8759,poli
N130031,news,newspolitics,2422,poli
N130129,news,newspolitics,4133,poli
N130132,news,newspolitics,16155,poli
N130293,news,newspolitics,20723,poli
N130295,news,newspolitics,8042,poli
N130312,news,newspolitics,26712,poli
N13032,news,newspolitics,12156,poli
N13119,news,newsfactcheck,20760,poli
N1316,news,newspolitics,19399,poli
N13316,news,newspolitics,28065,poli
N13401,news,newspolitics,25562,poli
N13407,news,newspolitics,7671,poli
N13427,news,newspolitics,16049,poli
N13514,news,newspolitics,12048,poli
N13855,news,newspolitics,26449,poli
N13871,news,newspolitics,10146,poli
N14075,news,newspolitics,25546,poli
N14115,news,newspolitics,8692,poli
N14210,news,newspolitics,8987,poli
N14355,news,elections-2020-us,3682,poli
N14536,news,newspolitics,15296,poli
N14562,news,newspolitics,8464,poli
N14774,news,newspolitics,29112,poli
N14837,news,elections-2020-us,3377,poli
N14853,news,newspolitics,3670,poli
N14872,news,newspolitics,15137,poli
N14899,news,newspolitics,8364,poli
N15091,news,newspolitics,1435,poli
N15201,news,elections-2020-us,24434,poli
N15230,news,newspolitics,27258,poli
N15268,news,newspolitics,2973,poli
N1541,news,newspolitics,27893,poli
N15416,news,newspolitics,1252,poli
N15433,news,newspolitics,25596,poli
N15438,news,newspolitics,319,poli
N1546,news,factcheck,19452,poli
N15483,news,newspolitics,14508,poli
N1550,news,newspolitics,15072,poli
N15517,news,newspolitics,18407,poli
N15729,news,newspolitics,4278,poli
N15732,news,elections-2020-us,29177,poli
N15748,news,newspolitics,27164,poli
N1580,news,newspolitics,13742,poli
N15995,news,newspolitics,16430,poli
N16165,news,newspolitics,10374,poli
N16203,news,elections-2020-us,27826,poli
N16337,news,elections-2020-us,27553,poli
N1635,news,newspolitics,20752,poli
N16650,news,newspolitics,13886,poli
N16761,news,newspolitics,21508,poli
N16764,news,newspolitics,29268,poli
N1679,news,newspolitics,1008,poli
N16969,news,elections-2020-us,20159,poli
N16986,news,newspolitics,3512,poli
N17100,news,newspolitics,26032,poli
N17128,news,newspolitics,19060,poli
N17185,news,newspolitics,22843,poli
N17241,news,newspolitics,18646,poli
N17315,news,newspolitics,9442,poli
N17395,news,newspolitics,7970,poli
N17418,news,elections-2020-us,13511,poli
N17464,news,newspolitics,460,poli
N1767,news,newspolitics,446,poli
N17756,news,newspolitics,1931,poli
N17771,news,newspolitics,11543,poli
N17798,news,newspolitics,13325,poli
N18067,news,newspolitics,13480,poli
N18314,news,newspolitics,5949,poli
N1834,news,newspolitics,22144,poli
N18359,news,newspolitics,22952,poli
N18392,news,newspolitics,28549,poli
N18625,news,newspolitics,18639,poli
N18722,news,newspolitics,14885,poli
N18770,news,newspolitics,26457,poli
N18856,news,newspolitics,10852,poli
N18874,news,elections-2020-us,28945,poli
N19086,news,newspolitics,18302,poli
N191,news,newspolitics,22127,poli
N1910,news,newspolitics,24363,poli
N19135,news,newspolitics,29003,poli
N19155,news,newspolitics,16083,poli
N19162,news,newspolitics,4573,poli
N19167,news,factcheck,19742,poli
N19252,news,factcheck,2993,poli
N19255,news,newspolitics,14405,poli
N19326,news,newspolitics,11757,poli
N19337,news,factcheck,3206,poli
N19374,news,newspolitics,3284,poli
N19564,news,elections-2020-us,22276,poli
N1968,news,newspolitics,24192,poli
N19723,news,newspolitics,3657,poli
N19748,news,newspolitics,28811,poli
N2000,news,newspolitics,27200,poli
N20118,news,factcheck,19736,poli
N20176,news,newspolitics,20120,poli
N20259,news,newspolitics,18874,poli
N20417,news,elections-2020-us,27078,poli
N20446,news,newspolitics,15962,poli
N20516,news,newspolitics,28017,poli
N2052,news,newspolitics,28425,poli
N20617,news,newspolitics,22050,poli
N20802,news,newspolitics,3304,poli
N20849,news,newspolitics,3387,poli
N20981,news,newspolitics,21852,poli
N21065,news,newspolitics,27670,poli
N21105,news,newspolitics,24341,poli
N21295,news,newspolitics,9711,poli
N21365,news,newspolitics,17469,poli
N21400,news,newspolitics,9206,poli
N2147,news,newspolitics,18607,poli
N2174,news,newspolitics,20770,poli
N21881,news,elections-2020-us,24658,poli
N21902,news,elections-2020-us,1951,poli
N22074,news,newspolitics,15279,poli
N22176,news,newspolitics,24589,poli
N22177,news,newspolitics,383,poli
N22334,news,newspolitics,6743,poli
N22436,news,newspolitics,3623,poli
N22457,news,newspolitics,23716,poli
N22474,news,newspolitics,19043,poli
N22524,news,newspolitics,2075,poli
N22740,news,newspolitics,13479,poli
N22781,news,newspolitics,19106,poli
N22811,news,newspolitics,1093,poli
N23050,news,newspolitics,25490,poli
N23067,news,elections-2020-us,918,poli
N23129,news,elections-2020-us,22832,poli
N2314,news,factcheck,9780,poli
N23210,news,newspolitics,9311,poli
N23302,news,newspolitics,27230,poli
N23323,news,newspolitics,27264,poli
N23431,news,newspolitics,359,poli
N23663,news,newspolitics,10375,poli
N23902,news,newspolitics,2160,poli
N24099,news,newspolitics,18633,poli
N24125,news,newspolitics,8793,poli
N24133,news,newspolitics,12535,poli
N24135,news,newspolitics,11802,poli
N24235,news,newspolitics,18452,poli
N24238,news,newspolitics,28149,poli
N24308,news,newspolitics,29173,poli
N24373,news,newspolitics,18642,poli
N24590,news,newspolitics,17058,poli
N24594,news,newspolitics,10882,poli
N24619,news,newspolitics,24326,poli
N24866,news,newspolitics,20766,poli
N24996,news,newspolitics,19410,poli
N25054,news,newspolitics,21616,poli
N25094,news,newspolitics,2984,poli
N25226,news,newspolitics,25152,poli
N25352,news,newspolitics,3035,poli
N25424,news,newspolitics,20513,poli
N2544,news,newspolitics,16915,poli
N25576,news,newspolitics,13987,poli
N25798,news,newspolitics,14940,poli
N25906,news,newspolitics,9152,poli
N25938,news,newspolitics,29077,poli
N26183,news,newspolitics,3743,poli
N26222,news,newspolitics,17969,poli
N26307,news,newspolitics,11428,poli
N26387,news,newspolitics,3969,poli
N26416,news,newspolitics,27111,poli
N26452,news,elections-2020-us,1643,poli
N26469,news,newspolitics,19156,poli
N26501,news,newspolitics,11580,poli
N26604,news,newspolitics,18588,poli
N26660,news,newspolitics,17277,poli
N26720,news,newspolitics,10455,poli
N27025,news,newspolitics,28778,poli
N27108,news,newspolitics,28327,poli
N27127,news,newspolitics,5134,poli
N27200,news,newspolitics,10099,poli
N27440,news,elections-2020-us,3032,poli
N27495,news,newspolitics,1557,poli
N27514,news,newspolitics,17440,poli
N27724,news,newspolitics,5238,poli
N27744,news,elections-2020-us,10571,poli
N27780,news,newspolitics,22184,poli
N27873,news,elections-2020-us,3672,poli
N27923,news,newspolitics,780,poli
N27952,news,newspolitics,22201,poli
N28005,news,factcheck,10368,poli
N28247,news,newspolitics,19436,poli
N28427,news,newspolitics,20540,poli
N28453,news,newspolitics,9485,poli
N28472,news,newspolitics,10462,poli
N28683,news,newspolitics,10786,poli
N28708,news,newspolitics,6040,poli
N28809,news,newspolitics,2350,poli
N28873,news,newspolitics,5096,poli
N29057,news,newspolitics,1870,poli
N29079,news,newspolitics,6590,poli
N29115,news,newspolitics,10603,poli
N29210,news,newspolitics,16085,poli
N29323,news,newspolitics,14915,poli
N2938,news,newspolitics,28302,poli
N29486,news,newspolitics,1065,poli
N29729,news,newspolitics,1899,poli
N29895,news,elections-2020-us,28850,poli
N29931,news,newspolitics,2797,poli
N30017,news,newspolitics,21773,poli
N30059,news,newspolitics,5376,poli
N30086,news,newspolitics,1142,poli
N30160,news,newspolitics,18229,poli
N30172,news,newspolitics,7554,poli
N30199,news,newspolitics,28090,poli
N30274,news,newspolitics,24927,poli
N30389,news,newspolitics,20511,poli
N30470,news,newspolitics,19814,poli
N30482,news,newspolitics,7094,poli
N30483,news,newspolitics,2895,poli
N30504,news,newspolitics,7181,poli
N30682,news,newspolitics,14692,poli
N30750,news,newspolitics,2729,poli
N30774,news,newspolitics,16808,poli
N31094,news,newspolitics,19205,poli
N31117,news,newspolitics,24070,poli
N31135,news,newspolitics,9719,poli
N31163,news,elections-2020-us,28853,poli
N31229,news,elections-2020-us,23568,poli
N31355,news,newspolitics,4401,poli
N31430,news,elections-2020-us,5653,poli
N31754,news,newspolitics,1638,poli
N31872,news,newspolitics,2838,poli
N31879,news,newspolitics,482,poli
N31967,news,newspolitics,534,poli
N32011,news,newspolitics,17178,poli
N32051,news,newspolitics,386,poli
N32103,news,newspolitics,28436,poli
N32244,news,newspolitics,10066,poli
N32401,news,newspolitics,28036,poli
N32423,news,newspolitics,3407,poli
N32425,news,newspolitics,23177,poli
N32626,news,elections-2020-us,1651,poli
N32676,news,newspolitics,17635,poli
N32717,news,newspolitics,10040,poli
N32736,news,newspolitics,15307,poli
N32792,news,elections-2020-us,2410,poli
N32819,news,newspolitics,15851,poli
N32913,news,elections-2020-us,3128,poli
N32977,news,newspolitics,18625,poli
N33047,news,newspolitics,6708,poli
N33112,news,newspolitics,6419,poli
N33280,news,newspolitics,11221,poli
N33443,news,newspolitics,385,poli
N33461,news,newspolitics,1025,poli
N3349,news,newspolitics,1390,poli
N33521,news,newspolitics,2302,poli
N33566,news,newspolitics,9612,poli
N33659,news,newspolitics,3538,poli
N33674,news,newspolitics,27384,poli
N33676,news,newspolitics,2906,poli
N33795,news,newspolitics,14594,poli
N33819,news,newspolitics,4994,poli
N33884,news,newspolitics,14873,poli
N33913,news,newspolitics,26333,poli
N33967,news,newspolitics,2724,poli
N34028,news,elections-2020-us,1735,poli
N34039,news,newspolitics,6945,poli
N34050,news,newspolitics,8230,poli
N3414,news,newspolitics,16691,poli
N34179,news,newspolitics,21631,poli
N34256,news,newspolitics,2418,poli
N34345,news,newspolitics,20157,poli
N34524,news,newspolitics,13193,poli
N34559,news,newspolitics,17309,poli
N3466,news,newspolitics,19152,poli
N34705,news,newspolitics,11956,poli
N34753,news,newspolitics,7909,poli
N34919,news,newspolitics,2938,poli
N34924,news,newspolitics,16347,poli
N34994,news,newspolitics,6873,poli
N35021,news,newspolitics,1458,poli
N35132,news,newspolitics,25591,poli
N35174,news,newspolitics,926,poli
N35201,news,elections-2020-us,22433,poli
N35316,news,newspolitics,16769,poli
N35424,news,newspolitics,6232,poli
N3546,news,newspolitics,27524,poli
N35512,news,newspolitics,19000,poli
N35533,news,newspolitics,17205,poli
N35588,news,newspolitics,7631,poli
N35620,news,newspolitics,10961,poli
N35756,news,newspolitics,11661,poli
N35798,news,newspolitics,12961,poli
N35821,news,newspolitics,24243,poli
N36014,news,newspolitics,3305,poli
N36057,news,newspolitics,5215,poli
N36092,news,newspolitics,15067,poli
N36134,news,newspolitics,17062,poli
N36233,news,newspolitics,17596,poli
N36316,news,elections-2020-us,23502,poli
N36581,news,newspolitics,12422,poli
N36894,news,elections-2020-us,24385,poli
N36896,news,newspolitics,4778,poli
N36959,news,newspolitics,420,poli
N3699,news,newsfactcheck,4785,poli
N37229,news,newspolitics,14601,poli
N37296,news,newspolitics,24171,poli
N37389,news,elections-2020-us,18636,poli
N37417,news,elections-2020-us,28791,poli
N37436,news,newspolitics,6340,poli
N3749,news,elections-2020-us,5957,poli
N37653,news,newspolitics,7341,poli
N37727,news,newspolitics,24883,poli
N37769,news,newspolitics,3869,poli
N37828,news,newspolitics,4456,poli
N37861,news,elections-2020-us,864,poli
N37929,news,newspolitics,902,poli
N37930,news,factcheck,2482,poli
N38042,news,newspolitics,18748,poli
N38374,news,newspolitics,27704,poli
N38630,news,elections-2020-us,8296,poli
N3869,news,newspolitics,18290,poli
N38698,news,newspolitics,4686,poli
N38799,news,newspolitics,10812,poli
N38833,news,newspolitics,9078,poli
N38850,news,newspolitics,8500,poli
N38883,news,newspolitics,2282,poli
N38901,news,newspolitics,17757,poli
N38925,news,newspolitics,28773,poli
N39109,news,newspolitics,3680,poli
N39131,news,newspolitics,28438,poli
N3919,news,newspolitics,16582,poli
N39210,news,newspolitics,20153,poli
N39227,news,elections-2020-us,25662,poli
N39259,news,factcheck,1634,poli
N39404,news,elections-2020-us,11,poli
N39450,news,newspolitics,4352,poli
N39497,news,newspolitics,25285,poli
N39680,news,newspolitics,17930,poli
N39798,news,newspolitics,24037,poli
N3989,news,newspolitics,28777,poli
N39984,news,elections-2020-us,27843,poli
N40178,news,newspolitics,13908,poli
N40412,news,newspolitics,696,poli
N40414,news,newspolitics,8472,poli
N40538,news,newspolitics,28499,poli
N40583,news,newspolitics,1385,poli
N40604,news,newspolitics,27134,poli
N40643,news,newspolitics,1446,poli
N4070,news,newspolitics,12602,poli
N40834,news,newspolitics,6565,poli
N40891,news,newspolitics,8917,poli
N40939,news,newspolitics,8668,poli
N4094,news,newspolitics,10538,poli
N41023,news,newspolitics,12321,poli
N41083,news,elections-2020-us,18641,poli
N41170,news,elections-2020-us,4698,poli
N41216,news,newspolitics,20630,poli
N41335,news,newspolitics,12315,poli
N41349,news,newspolitics,28886,poli
N4135,news,newspolitics,1250,poli
N41786,news,newspolitics,20791,poli
N41787,news,newspolitics,21048,poli
N41810,news,newspolitics,10270,poli
N41830,news,newspolitics,16000,poli
N41935,news,newspolitics,24870,poli
N41969,news,newspolitics,5217,poli
N41975,news,newspolitics,1398,poli
N42160,news,newspolitics,4841,poli
N42339,news,newspolitics,20677,poli
N42387,news,newspolitics,12194,poli
N42419,news,newspolitics,21430,poli
N42526,news,newspolitics,7880,poli
N42567,news,newspolitics,8953,poli
N42588,news,newspolitics,15217,poli
N42596,news,newspolitics,28158,poli
N42746,news,newspolitics,11440,poli
N42756,news,newspolitics,20043,poli
N42766,news,newspolitics,20129,poli
N42796,news,newsfactcheck,9779,poli
N42806,news,newspolitics,2527,poli
N42823,news,newspolitics,24322,poli
N43044,news,newspolitics,29088,poli
N43394,news,newspolitics,25486,poli
N43490,news,newspolitics,1565,poli
N43642,news,newspolitics,20093,poli
N43691,news,newspolitics,1924,poli
N437,news,newspolitics,9084,poli
N43794,news,newspolitics,12630,poli
N43808,news,newspolitics,22965,poli
N43855,news,newspolitics,4814,poli
N43864,news,elections-2020-us,5033,poli
N44014,news,newspolitics,2670,poli
N44092,news,elections-2020-us,1929,poli
N44244,news,newspolitics,1382,poli
N4433,news,newspolitics,1357,poli
N44359,news,newspolitics,11206,poli
N4437,news,newspolitics,14613,poli
N44383,news,newspolitics,24668,poli
N44608,news,newspolitics,27643,poli
N44894,news,newspolitics,27448,poli
N449,news,factcheck,19768,poli
N4518,news,newspolitics,5303,poli
N45379,news,newspolitics,22322,poli
N45386,news,newspolitics,13384,poli
N45578,news,newspolitics,28277,poli
N45603,news,elections-2020-us,23503,poli
N4568,news,newspolitics,28896,poli
N45703,news,newspolitics,11107,poli
N45785,news,newspolitics,7371,poli
N45925,news,newspolitics,10874,poli
N45959,news,newspolitics,27961,poli
N46038,news,newspolitics,16097,poli
N46180,news,newspolitics,2378,poli
N46399,news,newspolitics,3243,poli
N46407,news,newspolitics,26517,poli
N46555,news,newspolitics,27050,poli
N46636,news,newspolitics,10941,poli
N4679,news,newspolitics,11388,poli
N46928,news,newspolitics,1254,poli
N46970,news,newspolitics,22310,poli
N47004,news,newspolitics,28237,poli
N47035,news,newspolitics,7512,poli
N47125,news,newspolitics,12727,poli
N47220,news,newspolitics,24365,poli
N47329,news,newspolitics,14962,poli
N47428,news,newspolitics,25729,poli
N47577,news,newspolitics,27658,poli
N47614,news,newspolitics,16865,poli
N47680,news,newspolitics,17750,poli
N47767,news,newspolitics,781,poli
N47863,news,newspolitics,1785,poli
N47926,news,newspolitics,3929,poli
N48026,news,newspolitics,28328,poli
N48096,news,newspolitics,14047,poli
N48209,news,newspolitics,19455,poli
N48324,news,newspolitics,18514,poli
N48495,news,newspolitics,18371,poli
N48690,news,newspolitics,5560,poli
N48718,news,newspolitics,1665,poli
